Model,Threshold,AUC-ROC,AUC-PR,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Cohen Kappa,MCC,Brier Score
2-Phase (no TTA),0.5,0.999162764,0.999155583,0.988700565,0.988505747,0.988888889,0.988505747,0.988505747,0.977394636,0.977394636,0.009337729
2-Phase + TTA,0.5,0.999233716,0.999255094,0.986817326,0.988505747,0.985185185,0.984732824,0.986615679,0.973628759,0.973635669,0.009150582
2-Phase + TTA + OptThr,0.108500689,0.999233716,0.999255094,0.988700565,0.996168582,0.981481481,0.981132075,0.988593156,0.977400409,0.977511361,0.009150582
Fold 1,0.5,0.997289627,0.997764179,0.990583804,0.988505747,0.992592593,0.992307692,0.990403071,0.981160994,0.981167958,0.009675109
Fold 2,0.5,0.995657727,0.994614902,0.984934087,0.980842912,0.988888889,0.988416988,0.984615385,0.969855665,0.969883206,0.013708919
Fold 3,0.5,0.999375621,0.999346707,0.981167608,0.965517241,0.996296296,0.996047431,0.980544747,0.962305137,0.962742985,0.012951884
Fold 4,0.5,0.998808003,0.998757688,0.983050847,0.988505747,0.977777778,0.977272727,0.982857143,0.966098449,0.966160141,0.013476247
Fold 5,0.5,0.997218675,0.99700819,0.984934087,0.98467433,0.985185185,0.98467433,0.98467433,0.969859515,0.969859515,0.015265912
Ensemble (no TTA),0.5,0.999233716,0.999205239,0.988700565,0.988505747,0.988888889,0.988505747,0.988505747,0.977394636,0.977394636,0.009579836
Ensemble + TTA,0.5,0.999233716,0.999227099,0.986817326,0.98467433,0.988888889,0.988461538,0.986564299,0.973625391,0.973632302,0.009140024
Ensemble + TTA + OptThr,0.359716773,0.999233716,0.999227099,0.990583804,0.996168582,0.985185185,0.984848485,0.99047619,0.981165805,0.981228459,0.009140024
