Model,Threshold,AUC-ROC,AUC-PR,Accuracy,Balanced Acc,Sensitivity,Specificity,Precision,NPV,F1-Score,Cohen Kappa,MCC,Brier Score,Log Loss
2-Phase (no TTA),0.5,0.9991627642968639,0.9991555827963398,0.9887005649717514,0.9886973180076628,0.9885057471264368,0.9888888888888889,0.9885057471264368,0.9888888888888889,0.9885057471264368,0.9773946360153256,0.9773946360153257,0.00933772864306377,0.03589549506152482
2-Phase + TTA,0.5,0.9992337164750958,0.999255094100757,0.9868173258003766,0.986845466155811,0.9885057471264368,0.9851851851851852,0.9847328244274809,0.9888475836431226,0.9866156787762906,0.9736287593384841,0.9736356686228147,0.009150582022739847,0.03412894940964556
2-Phase + TTA + OptThr,0.10850069,0.9992337164750958,0.999255094100757,0.9887005649717514,0.9888250319284801,0.9961685823754789,0.9814814814814815,0.9811320754716981,0.9962406015037594,0.9885931558935361,0.9774004085801838,0.9775113605770034,0.009150582022739847,0.03412894940964556
Fold 1,0.5,0.9978572442173974,0.9984554632985977,0.9887005649717514,0.9886973180076628,0.9885057471264368,0.9888888888888889,0.9885057471264368,0.9888888888888889,0.9885057471264368,0.9773946360153256,0.9773946360153257,0.009931392018158238,0.04310439644994044
Fold 2,0.5,0.9978714346530438,0.99766572164557,0.9792843691148776,0.9791187739463602,0.9693486590038314,0.9888888888888889,0.98828125,0.9709090909090909,0.9787234042553191,0.9585435962951134,0.9587138260373164,0.01336712331095449,0.06004987441802355
Fold 3,0.5,0.9993330495246204,0.9993077423231107,0.9849340866290018,0.9848020434227331,0.9770114942528736,0.9925925925925926,0.9922178988326849,0.9781021897810219,0.9845559845559846,0.9698518140010219,0.969962021662758,0.010721762176156538,0.04488138619122596
Fold 4,0.5,0.9989640981978147,0.9989335663036762,0.9849340866290018,0.9849936143039592,0.9885057471264368,0.9814814814814815,0.9809885931558935,0.9888059701492538,0.9847328244274809,0.9698633635551015,0.9698908911724999,0.011256876481011533,0.059948460366975376
Fold 5,0.5,0.998141052930325,0.998235842849693,0.9849340866290018,0.9849297573435505,0.9846743295019157,0.9851851851851852,0.9846743295019157,0.9851851851851852,0.9846743295019157,0.9698595146871009,0.9698595146871009,0.012924877067273443,0.06539111444915924
Ensemble (no TTA),0.5,0.9992337164750957,0.9992052390932572,0.9887005649717514,0.9886973180076628,0.9885057471264368,0.9888888888888889,0.9885057471264368,0.9888888888888889,0.9885057471264368,0.9773946360153256,0.9773946360153257,0.009579836337812423,0.04813071714325958
Ensemble + TTA,0.5,0.9992337164750958,0.9992270985614269,0.9868173258003766,0.9867816091954023,0.9846743295019157,0.9888888888888889,0.9884615384615385,0.985239852398524,0.9865642994241842,0.97362539114886,0.9736323021743502,0.009140024239474449,0.0469816876077561
Ensemble + TTA + OptThr,0.35971677,0.9992337164750958,0.9992270985614269,0.9905838041431262,0.990676883780332,0.9961685823754789,0.9851851851851852,0.9848484848484849,0.9962546816479401,0.9904761904761905,0.9811658047628168,0.9812284590282551,0.009140024239474449,0.0469816876077561
