threshold,sensitivity,specificity,precision,npv,f1,accuracy,youden_j
0.01,1,0,0.491525424,0,0.659090909,0.491525424,0
0.014924623,1,0,0.491525424,0,0.659090909,0.491525424,0
0.019849246,1,0.866666667,0.878787879,1,0.935483871,0.93220339,0.866666667
0.024773869,0.996168582,0.937037037,0.938628159,0.996062992,0.966542751,0.966101695,0.933205619
0.029698492,0.996168582,0.948148148,0.948905109,0.996108949,0.971962617,0.971751412,0.944316731
0.034623116,0.996168582,0.955555556,0.955882353,0.996138996,0.975609756,0.975517891,0.951724138
0.039547739,0.996168582,0.959259259,0.959409594,0.996153846,0.977443609,0.97740113,0.955427842
0.044472362,0.996168582,0.962962963,0.962962963,0.996168582,0.979284369,0.979284369,0.959131545
0.049396985,0.996168582,0.962962963,0.962962963,0.996168582,0.979284369,0.979284369,0.959131545
0.054321608,0.996168582,0.966666667,0.966542751,0.996183206,0.981132075,0.981167608,0.962835249
0.059246231,0.996168582,0.966666667,0.966542751,0.996183206,0.981132075,0.981167608,0.962835249
0.064170854,0.996168582,0.97037037,0.970149254,0.996197719,0.982986767,0.983050847,0.966538953
0.069095477,0.996168582,0.974074074,0.973782772,0.996212121,0.984848485,0.984934087,0.970242656
0.074020101,0.996168582,0.974074074,0.973782772,0.996212121,0.984848485,0.984934087,0.970242656
0.078944724,0.996168582,0.974074074,0.973782772,0.996212121,0.984848485,0.984934087,0.970242656
0.083869347,0.996168582,0.974074074,0.973782772,0.996212121,0.984848485,0.984934087,0.970242656
0.08879397,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.093718593,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.098643216,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.103567839,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.108492462,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.113417085,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.118341709,0.996168582,0.977777778,0.977443609,0.996226415,0.986717268,0.986817326,0.97394636
0.123266332,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.128190955,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.133115578,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.138040201,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.142964824,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.147889447,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.15281407,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.157738693,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.162663317,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.16758794,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.172512563,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.177437186,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.182361809,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.187286432,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.192211055,0.996168582,0.981481481,0.981132075,0.996240602,0.988593156,0.988700565,0.977650064
0.197135678,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.202060302,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.206984925,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
