Metric,APTOS 2019,IDRiD,Delta (IDRiD - APTOS)
AUC-ROC,0.9991627642968639,0.8960495963091119,-0.10311316798775205
AUC-PR,0.9991555827963398,0.9539891963752981,-0.04516638642104165
Accuracy,0.9905838041431262,0.7320261437908496,-0.25855766035227656
Sensitivity,0.9923371647509579,0.9558823529411765,-0.036454811809781384
Specificity,0.9888888888888889,0.28431372549019607,-0.7045751633986929
Precision,0.9885496183206107,0.7276119402985075,-0.2609376780221032
F1-Score,0.9904397705544933,0.826271186440678,-0.1641685841138153
Cohen Kappa,0.9811633995274887,0.2848837209302325,-0.6962796785972561
MCC,0.981170362280835,0.34333801098611644,-0.6378323512947186
Brier Score,0.00933772839375131,0.2087766682760934,0.1994389398823421
Log Loss,0.03589549731022194,0.7678325981413557,0.7319371008311338
